C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
1.2067926406393264e+25,14430690714865.975,14430690714865.992,0.0,cot,126848604.80847901,22.752620317194655
1.2067926406393264e+25,17335272711310.66,17335272711310.713,0.0,cot,126848604.80847901,27.33222448521864
1.2067926406393264e+25,20824483450811.97,20824483450812.043,0.0,cot,126848604.80847901,32.83360267502128
1.2067926406393264e+25,25015995895478.285,25015995895478.234,0.0,cot,126848604.80847901,39.44228780954811
1.2067926406393264e+25,30051167997551.418,30051167997551.387,0.0,cot,126848604.80847901,47.38115652580311
1.2067926406393264e+25,36099809969200.266,36099809969200.36,0.0,cot,126848604.80847901,56.91794564663155
1.2067926406393264e+25,43365911099314.5,43365911099314.47,0.0,cot,126848604.80847901,68.37428155365217
1.2067926406393264e+25,52094519253096.44,52094519253096.64,0.0,cot,126848604.80847901,82.13652697520921
1.2067926406393264e+25,62580005064258.164,62580005064258.14,0.0,cot,126848604.80847901,98.66881099519212
1.2067926406393264e+25,75175989528107.16,75175989528107.25,0.0,cot,126848604.80847901,118.52868171724997
1.2067926406393264e+25,90307269801705.67,90307269801705.67,0.0,cot,126848604.80847901,142.3859094675186
1.2067926406393264e+25,108484145406411.6,108484145406412.03,0.0,cot,126848604.80847901,171.0450746702421
1.2067926406393264e+25,130319627981237.53,130319627981237.75,0.0,cot,126848604.80847901,205.47270216806757
1.2067926406393264e+25,156550114982648.78,156550114982648.88,0.0,cot,126848604.80847901,246.8298570867441
1.2067926406393264e+25,188060224547363.53,188060224547363.8,0.0,cot,126848604.80847901,296.51130153351585
1.2067926406393264e+25,225912629069131.72,225912629069131.47,0.0,cot,126848604.80847901,356.1925326813385
1.2067926406393264e+25,271383893621127.56,271383893621126.75,0.0,cot,126848604.80847901,427.88628858925745
1.2067926406393264e+25,326007527867888.3,326007527867889.44,0.0,cot,126848604.80847901,514.010427406919
1.2067926406393264e+25,391625703384258.25,391625703384257.44,0.0,cot,126848604.80847901,617.4694691763463
1.2067926406393264e+25,470451380537956.3,470451380537956.8,0.0,cot,126848604.80847901,741.7525502125345
1.2067926406393264e+25,565142940153010.4,565142940153009.0,0.0,cot,126848604.80847901,891.0510935556372
1.2067926406393264e+25,678893836892500.1,678893836892498.1,0.0,cot,126848604.80847901,1070.4001639080236
1.2067926406393264e+25,815540297903810.9,815540297903809.5,0.0,cot,126848604.80847901,1285.8482742244514
1.2067926406393264e+25,979690698842433.9,979690698842436.1,0.0,cot,126848604.80847901,1544.6613706498536
1.2067926406393264e+25,1176880980455953.5,1176880980455955.0,1.0629857041513043e-17,cot,126848604.80847901,1855.5678751577198
1.2067926406393264e+25,1413761347122612.2,1413761347122611.8,7.398368514301836e-10,cot,126848604.80847901,2229.0530499049078
1.2067926406393264e+25,1698320543716823.5,1698320543716820.5,1.289783896032703e-05,cot,126848604.80847901,2677.7126106842315
1.2067926406393264e+25,2040155274495875.0,2040155274495871.2,0.0015571295062968055,cot,126848604.80847901,3216.6775150206527
1.2067926406393264e+25,2449054057641227.0,2450793850108048.5,0.006010332015802396,cot,126848604.80847901,3861.3811501339014
1.2067926406393264e+25,2939141996048512.5,2944084977655257.0,0.006890478177072138,cot,126848604.80847901,4634.094321314995
1.2067926406393264e+25,3526290279848776.0,3536664805680504.0,0.012105848405665285,cot,126848604.80847901,5559.840859381792
1.2067926406393264e+25,4228898602895039.5,4248517975082634.5,0.016391308192803208,cot,126848604.80847901,6667.631243213114
1.2067926406393264e+25,5064235301418779.0,5103651597292699.0,0.026514675869771413,cot,126848604.80847901,7984.692159704808
1.2067926406393264e+25,6060586021077806.0,6130904889496625.0,0.033136421068618506,cot,126848604.80847901,9555.621096863173
