C_tr,C_inf,Accuracy
4e+18,400000000000000.0,0.1977777777777778
4e+18,4000000000000000.0,0.2133333333333335
4e+18,4e+16,0.2300000000000003
4e+18,4e+17,0.2433333333333337
4e+18,4e+18,0.2600000000000005
4e+18,4e+19,0.2733333333333339
4e+18,4e+20,0.2888888888888896
4e+18,4e+21,0.302222222222223
4e+18,4e+22,0.3166666666666675
4e+18,4e+23,0.3311111111111121
4e+18,4e+24,0.3444444444444455
4e+19,40000000000.0,0.0
4e+19,400000000000.0,0.396666666666668
4e+19,4000000000000.0,0.4311111111111127
4e+19,40000000000000.0,0.4444444444444461
4e+19,400000000000000.0,0.4611113203405363
4e+19,4000000000000000.0,0.4722222222222241
4e+19,4e+16,0.4866666666666686
4e+19,4e+17,0.5011111111111131
4e+19,4e+18,0.5133333333333348
4e+19,4e+19,0.5266666666666675
4e+19,4e+20,0.5411111111111113
4e+19,4e+21,0.552222222222222
4e+19,4e+22,0.5655555555555547
4e+19,4e+23,0.5811111111111096
4e+19,4e+24,0.5922222222222202
4e+20,40000000000.0,0.0
4e+20,400000000000.0,0.5622222222222215
4e+20,4000000000000.0,0.5844444444444428
4e+20,40000000000000.0,0.606666666666664
4e+20,400000000000000.0,0.6211111111111078
4e+20,4000000000000000.0,0.6333333333333295
4e+20,4e+16,0.6466666666666623
4e+20,4e+17,0.6611111111111061
4e+20,4e+18,0.6722222222222167
4e+20,4e+19,0.6855555555555495
4e+20,4e+20,0.6999999999999933
4e+20,4e+21,0.7111111111111039
4e+20,4e+22,0.7233333333333256
4e+20,4e+23,0.7366666666666584
4e+20,4e+24,0.7499999999999911
4e+21,40000000000.0,0.0
4e+21,400000000000.0,0.0
4e+21,4000000000000.0,0.7499999999999911
4e+21,40000000000000.0,0.7622222222222128
4e+21,400000000000000.0,0.7811111111102778
4e+21,4000000000000000.0,0.7944444444338395
4e+21,4e+16,0.8088888887230037
4e+21,4e+17,0.8211111095606629
4e+21,4e+18,0.8333333177219597
4e+21,4e+19,0.8455554049558373
4e+21,4e+20,0.8599978088300781
4e+21,4e+21,0.8710943161376951
4e+21,4e+22,0.8831543383375572
4e+21,4e+23,0.8939862760881281
4e+21,4e+24,0.9013083028445084
4e+22,40000000000.0,0.0
4e+22,400000000000.0,0.0
4e+22,4000000000000.0,0.9033333333333178
4e+22,40000000000000.0,0.924444444444428
4e+22,400000000000000.0,0.9388888888888718
4e+22,4000000000000000.0,0.9511111111110936
4e+22,4e+16,0.962222222222204
4e+22,4e+17,0.9744444444444258
4e+22,4e+18,0.9866666666666476
4e+22,4e+19,0.9999999999999802
4e+22,4e+20,0.9999999999999802
4e+22,4e+21,0.9999999999999802
4e+22,4e+22,0.9999999999999802
4e+22,4e+23,0.9999999999999802
4e+22,4e+24,0.9999999999999802
4e+23,40000000000.0,0.0
4e+23,400000000000.0,0.0
4e+23,4000000000000.0,0.0
4e+23,40000000000000.0,0.9999999999999802
4e+23,400000000000000.0,0.9999999999999802
4e+23,4000000000000000.0,0.9999999999999802
4e+23,4e+16,0.9999999999999802
4e+23,4e+17,0.9999999999999802
4e+23,4e+18,0.9999999999999802
4e+23,4e+19,0.9999999999999802
4e+23,4e+20,0.9999999999999802
4e+23,4e+21,0.9999999999999802
4e+23,4e+22,0.9999999999999802
4e+23,4e+23,0.9999999999999802
4e+23,4e+24,0.9999999999999802
4e+24,40000000000.0,0.0
