C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
3.8e+25,9632651947593110.0,1.2648552168552906e+16,0.4692059227934495,cot,225092573.5484551,8558.835856501073
3.8e+25,1.0640076188681636e+16,1.389495494373136e+16,0.4855615991073638,cot,225092573.5484551,9453.955784455213
3.8e+25,1.152340810353212e+16,1.5264179671752366e+16,0.4998077511251806,cot,225092573.5484551,10238.816787130925
3.8e+25,1.2579815062009276e+16,1.6768329368110032e+16,0.508333583889764,cot,225092573.5484551,11177.459001597184
3.8e+25,1.3899162299890636e+16,1.8420699693267164e+16,0.5198932598281945,cot,225092573.5484551,12349.729785197558
3.8e+25,1.5239293679865342e+16,2.023589647725164e+16,0.531851505843089,cot,225092573.5484551,13540.467763664199
3.8e+25,1.6703913007463362e+16,2.222996482526191e+16,0.5406292805733811,cot,225092573.5484551,14841.816186234644
3.8e+25,1.846467083362886e+16,2.4420530945486548e+16,0.5512180111952641,cot,225092573.5484551,16406.29056973665
3.8e+25,2.0025985614483776e+16,2.6826957952797164e+16,0.5615901257220234,cot,225092573.5484551,17793.55515713879
3.8e+25,2.1916558494304244e+16,2.9470517025518096e+16,0.5788588735521603,cot,225092573.5484551,19473.373242663936
3.8e+25,2.3967965308882656e+16,3.2374575428176532e+16,0.5934423883856551,cot,225092573.5484551,21296.09602932825
3.8e+25,2.6623360709985076e+16,3.5564803062231212e+16,0.5996950063355017,cot,225092573.5484551,23655.476758102763
3.8e+25,2.9150667405604596e+16,3.906939937054621e+16,0.6117731550277535,cot,225092573.5484551,25901.047685457655
3.8e+25,3.208095971932381e+16,4.291934260128761e+16,0.6235052732399182,cot,225092573.5484551,28504.680730764157
3.8e+25,3.5191361052513652e+16,4.7148663634573896e+16,0.6329117659680245,cot,225092573.5484551,31268.344839407247
3.8e+25,3.81723494796306e+16,5.179474679231223e+16,0.642945580866813,cot,225092573.5484551,33917.02256353059
3.8e+25,4.172628189759029e+16,5.689866029018282e+16,0.6537692225197987,cot,225092573.5484551,37074.77438264571
3.8e+25,4.586524329907262e+16,6.250551925273976e+16,0.6711289094024473,cot,225092573.5484551,40752.3380945301
3.8e+25,5.089440808803646e+16,6.8664884500430264e+16,0.6868667993825633,cot,225092573.5484551,45220.86827274252
3.8e+25,5.617441775745746e+16,7.543120063354608e+16,0.6912798866769373,cot,225092573.5484551,49912.27997610054
3.8e+25,6.14797605988172e+16,8.286427728546859e+16,0.7026507782118264,cot,225092573.5484551,54626.20079341056
3.8e+25,6.701324973454943e+16,9.10298177991519e+16,0.714382518361162,cot,225092573.5484551,59542.83491287523
3.8e+25,7.275835885877624e+16,1e+17,0.7245757105811109,cot,225092573.5484551,64647.49832638414
