C_tr,C_inf,C_inf_allocated,Accuracy,Policy,Params,Tokens
1.6999999999999937e+25,3.36908267407762e+16,3.816213407949349e+16,0.3083019108847363,cot,150554530.54181594,44755.64650167562
1.6999999999999937e+25,3.612970084483073e+16,4.094915062380419e+16,0.32082082315301375,cot,150554530.54181594,47995.501317439055
1.6999999999999937e+25,3.872093385750304e+16,4.3939705607607864e+16,0.3250832816200155,cot,150554530.54181594,51437.75310932732
1.6999999999999937e+25,4.137251789733454e+16,4.7148663634573896e+16,0.3344841109821211,cot,150554530.54181594,54960.17655323032
1.6999999999999937e+25,4.444641931577131e+16,5.059197488435822e+16,0.345940003778289,cot,150554530.54181594,59043.615832505944
1.6999999999999937e+25,4.77144151573721e+16,5.428675439323859e+16,0.35070737167043614,cot,150554530.54181594,63384.89447731313
1.6999999999999937e+25,5.090307825762794e+16,5.825136712468927e+16,0.3585082628256714,cot,150554530.54181594,67620.78573715163
1.6999999999999937e+25,5.4293466729213736e+16,6.250551925273976e+16,0.36735791633555465,cot,150554530.54181594,72124.65348445151
1.6999999999999937e+25,5.78987639252759e+16,6.707035611184313e+16,0.37147864959118404,cot,150554530.54181594,76914.01077989447
1.6999999999999937e+25,6.193534918775405e+16,7.196856730011529e+16,0.38317350989511995,cot,150554530.54181594,82276.3007726981
1.6999999999999937e+25,6.6397038109173704e+16,7.72244994583627e+16,0.39634990068484877,cot,150554530.54181594,88203.30795788598
1.6999999999999937e+25,7.160110429126328e+16,8.286427728546859e+16,0.4069921810120158,cot,150554530.54181594,95116.50567217749
1.6999999999999937e+25,7.639092270445978e+16,8.89159333916466e+16,0.4155772762343447,cot,150554530.54181594,101479.4074008188
1.6999999999999937e+25,8.201917449250624e+16,9.540954763499963e+16,0.4209548660801404,cot,150554530.54181594,108956.1027454112
1.6999999999999937e+25,8.742225962532464e+16,1.0237739663395878e+17,0.43072559007994193,cot,150554530.54181594,116133.68167760778
1.6999999999999937e+25,9.374410794260589e+16,1.0985411419875618e+17,0.4415344497132515,cot,150554530.54181594,124531.76613847408
1.6999999999999937e+25,9.986309839179082e+16,1.1787686347935915e+17,0.4449690965551605,cot,150554530.54181594,132660.36967788788
1.6999999999999937e+25,1.0635732596479685e+17,1.2648552168552906e+17,0.4546246106801593,cot,150554530.54181594,141287.4465909965
1.6999999999999937e+25,1.1403544897586294e+17,1.3572287829716482e+17,0.46103999119376404,cot,150554530.54181594,151487.23663840862
1.6999999999999937e+25,1.2223290583706115e+17,1.4563484775012384e+17,0.4683300665226896,cot,150554530.54181594,162376.92136818354
1.6999999999999937e+25,1.3091845725222294e+17,1.56270697654699e+17,0.4857994306555739,cot,150554530.54181594,173915.0018017702
1.6999999999999937e+25,1.4053603941108698e+17,1.6768329368110032e+17,0.4931651127959489,cot,150554530.54181594,186691.2126859625
1.6999999999999937e+25,1.5177698395713395e+17,1.7992936232915478e+17,0.5062396411662758,cot,150554530.54181594,201623.93441222745
